ordMonth,ordYear,productCode,productName,quantityOrdered,priceEach
1,2003,S18_1749,1917 Grand Touring Sedan,30,136
1,2003,S18_2248,1911 Ford Town Car,50,55.09
1,2003,S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,22,75.46
1,2003,S24_3969,1936 Mercedes Benz 500k Roadster,49,35.29
1,2003,S18_2325,1932 Model A Ford J-Coupe,25,108.06
1,2003,S18_2795,1928 Mercedes-Benz SSK,26,167.06
1,2003,S24_1937,1939 Chevrolet Deluxe Coupe,45,32.53
1,2003,S24_2022,1938 Cadillac V-16 Presidential Limousine,46,44.35
1,2003,S18_1342,1937 Lincoln Berline,39,95.55
1,2003,S18_1367,1936 Mercedes-Benz 500K Special Roadster,41,43.13
1,2003,S10_1949,1952 Alpine Renault 1300,26,214.3
1,2003,S10_4962,1962 LanciaA Delta 16V,42,119.67
1,2003,S12_1666,1958 Setra Bus,27,121.64
1,2003,S18_1097,1940 Ford Pickup Truck,35,94.5
1,2003,S18_2432,1926 Ford Fire Engine,22,58.34
1,2003,S18_2949,1913 Ford Model T Speedster,27,92.19
1,2003,S18_2957,1934 Ford V8 Coupe,35,61.84
1,2003,S18_3136,18th Century Vintage Horse Carriage,25,86.92
1,2003,S18_3320,1917 Maxwell Touring Car,46,86.31
1,2003,S18_4600,1940s Ford truck,36,98.07
1,2003,S18_4668,1939 Cadillac Limousine,41,40.75
1,2003,S24_2300,1962 Volkswagen Microbus,36,107.34
1,2003,S24_4258,1936 Chrysler Airflow,25,88.62
1,2003,S32_1268,1980’s GM Manhattan Express,31,92.46
1,2003,S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,45,63.35
1,2003,S700_2824,1982 Camaro Z28,42,94.07
1,2003,S12_3148,1969 Corvair Monza,34,131.44
1,2003,S12_4473,1957 Chevy Pickup,41,111.39
1,2003,S18_2238,1998 Chrysler Plymouth Prowler,24,135.9
1,2003,S18_2319,1964 Mercedes Tour Bus,29,122.73
1,2003,S18_3232,1992 Ferrari 360 Spider red,23,165.95
1,2003,S18_4027,1970 Triumph Spitfire,38,119.2
1,2003,S24_1444,1970 Dodge Coronet,35,52.02
1,2003,S24_2840,1958 Chevy Corvette Limited Edition,44,30.41
1,2003,S24_4048,1992 Porsche Cayenne Turbo Silver,26,106.45
1,2003,S32_2509,1954 Greyhound Scenicruiser,35,51.95
1,2003,S32_3207,1950's Chicago Surface Lines Streetcar,49,56.55
1,2003,S50_1392,Diamond T620 Semi-Skirted Tanker,33,114.59
1,2003,S50_1514,1962 City of Detroit Streetcar,32,53.31
2,2003,S10_4757,1972 Alfa Romeo GTA,50,127.84
2,2003,S12_1108,2001 Ferrari Enzo,41,205.72
2,2003,S12_3891,1969 Ford Falcon,29,141.88
2,2003,S18_3140,1903 Ford Model A,22,136.59
2,2003,S18_3259,Collectable Wooden Train,38,87.73
2,2003,S18_4522,1904 Buick Runabout,41,75.48
2,2003,S24_2011,18th century schooner,43,117.97
2,2003,S24_3151,1912 Ford Model T Delivery Wagon,44,73.46
2,2003,S24_3816,1940 Ford Delivery Sedan,50,75.47
2,2003,S700_1138,The Schooner Bluenose,41,54
2,2003,S700_1938,The Mayflower,29,86.61
2,2003,S700_2610,The USS Constitution Ship,31,60.72
2,2003,S700_3505,The Titanic,39,92.16
2,2003,S700_3962,The Queen Mary,22,99.31
2,2003,S72_3212,Pont Yacht,25,44.77
2,2003,S18_1662,1980s Black Hawk Helicopter,36,134.04
2,2003,S18_2581,P-51-D Mustang,34,81.1
2,2003,S18_3029,1999 Yamaha Speed Boat,41,80.86
2,2003,S18_3856,1941 Chevrolet Special Deluxe Cabriolet,41,94.22
2,2003,S24_1785,1928 British Royal Navy Airplane,28,107.23
2,2003,S24_2841,1900s Vintage Bi-Plane,49,65.77
2,2003,S24_3420,1937 Horch 930V Limousine,31,55.89
2,2003,S24_3949,Corsair F4U ( Bird Cage),50,55.96
2,2003,S24_4278,1900s Vintage Tri-Plane,26,71
2,2003,S32_4289,1928 Ford Phaeton Deluxe,33,65.35
2,2003,S50_1341,1930 Buick Marquette Phaeton,39,35.78
2,2003,S700_1691,American Airlines: B767-300,31,91.34
2,2003,S700_2047,HMS Bounty,30,85.09
2,2003,S700_2466,America West Airlines B757-200,34,99.72
2,2003,S700_2834,ATA: B757-300,32,113.9
2,2003,S700_3167,F/A 18 Hornet 1/72,44,76
2,2003,S700_4002,American Airlines: MD-11S,48,70.33
2,2003,S72_1253,Boeing X-32A JSF,48,43.7
2,2003,S10_1678,1969 Harley Davidson Ultimate Chopper,30,81.35
2,2003,S10_2016,1996 Moto Guzzi 1100i,39,105.86
2,2003,S10_4698,2003 Harley-Davidson Eagle Drag Bike,27,172.36
2,2003,S12_2823,2002 Suzuki XREO,21,122
2,2003,S18_2625,1936 Harley Davidson El Knucklehead,29,52.7
2,2003,S24_1578,1997 BMW R 1100 S,25,96.92
2,2003,S24_2000,1960 BSA Gold Star DBD34,38,73.12
2,2003,S32_1374,1997 BMW F650 ST,20,88.9
3,2003,S12_1099,1968 Ford Mustang,33,165.38
3,2003,S12_3380,1968 Dodge Charger,45,96.3
3,2003,S12_3990,1970 Plymouth Hemi Cuda,39,75.81
3,2003,S12_4675,1969 Dodge Charger,36,107.1
3,2003,S18_1889,1948 Porsche 356-A Roadster,38,67.76
3,2003,S18_3278,1969 Dodge Super Bee,26,73.17
3,2003,S18_3482,1976 Ford Gran Torino,29,132.29
3,2003,S18_3782,1957 Vespa GS150,43,52.84
3,2003,S18_4721,1957 Corvette Convertible,44,139.87
3,2003,S24_2360,1982 Ducati 900 Monster,35,64.41
3,2003,S24_3371,1971 Alpine Renault 1600s,30,60.01
3,2003,S24_3856,1956 Porsche 356A Coupe,40,132
3,2003,S24_4620,1961 Chevrolet Impala,31,67.1
3,2003,S32_2206,1982 Ducati 996 R,27,36.21
3,2003,S32_4485,1974 Ducati 350 Mk3 Desmo,31,87.76
3,2003,S50_4713,2002 Yamaha YZR M1,34,74.85
3,2003,S18_1129,1993 Mazda RX-7,26,117.48
3,2003,S18_1984,1995 Honda Civic,38,137.98
3,2003,S18_2870,1999 Indy 500 Monte Carlo SS,26,126.72
3,2003,S18_3232,1992 Ferrari 360 Spider red,46,160.87
3,2003,S18_3685,1948 Porsche Type 356 Roadster,47,125.74
3,2003,S24_2972,1982 Lamborghini Diablo,29,32.1
3,2003,S18_1589,1965 Aston Martin DB5,37,118.22
3,2003,S18_1749,1917 Grand Touring Sedan,42,153
3,2003,S18_2248,1911 Ford Town Car,32,51.46
3,2003,S18_2325,1932 Model A Ford J-Coupe,33,115.69
3,2003,S18_2795,1928 Mercedes-Benz SSK,31,163.69
3,2003,S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,28,81.91
3,2003,S18_4933,1957 Ford Thunderbird,42,62
3,2003,S24_1046,1970 Chevy Chevelle SS 454,36,72.02
3,2003,S24_1628,1966 Shelby Cobra 427 S/C,29,43.27
3,2003,S24_1937,1939 Chevrolet Deluxe Coupe,20,28.88
3,2003,S24_2022,1938 Cadillac V-16 Presidential Limousine,39,40.77
3,2003,S24_2766,1949 Jaguar XK 120,43,82.69
3,2003,S24_2887,1952 Citroen-15CV,46,112.74
3,2003,S24_3191,1969 Chevrolet Camaro Z28,27,80.47
3,2003,S24_3432,2002 Chevy Corvette,37,96.37
3,2003,S24_3969,1936 Mercedes Benz 500k Roadster,48,35.29
3,2003,S18_1342,1937 Lincoln Berline,33,87.33
3,2003,S18_1367,1936 Mercedes-Benz 500K Special Roadster,48,48.52
3,2003,S18_2957,1934 Ford V8 Coupe,28,53.09
3,2003,S18_3136,18th Century Vintage Horse Carriage,43,94.25
3,2003,S18_3320,1917 Maxwell Touring Car,39,91.27
3,2003,S24_4258,1936 Chrysler Airflow,26,85.7
3,2003,S10_1949,1952 Alpine Renault 1300,29,197.16
